	Name	Rating	Reviews	Company Detais	Salaries	Interviews	Jobs
0	Dentcare Dental Lab	3.6	70 Reviews	Medical Equipment | 51-200 Employees | 35 years old | Ernakulam +14 more	361 Salaries	6 Interviews	-- Jobs
1	Banasthali Vidyapith	4.1	70 Reviews	Education & Training | 501-1k Employees | 88 years old | Tonk +8 more	172 Salaries	5 Interviews	-- Jobs
2	Appsquadz Software	3.8	70 Reviews	IT Services & Consulting | 51-200 Employees | 9 years old | Noida	542 Salaries	8 Interviews	-- Jobs
3	Avadh Utopia	4.3	70 Reviews	Hospitality | 501-1k Employees (Global) | Public | 10 years old | Surat +5 more	311 Salaries	-- Interviews	-- Jobs
4	Kion india	3.7	70 Reviews	Industrial Machinery | 201-500 Employees | Forbes Global 2000 | 12 years old | Pune +10 more	610 Salaries	1 Interviews	19 Jobs
5	Altruista Health, Inc	3.5	70 Reviews	IT Services & Consulting | 201-500 Employees | 16 years old | Reston	681 Salaries	5 Interviews	6 Jobs
6	Degania Medical Devices	4.1	70 Reviews	Medical Equipment | 51-200 Employees | 39 years old | Degania Bet +3 more	387 Salaries	4 Interviews	-- Jobs
7	CMR University	3.3	70 Reviews	Education & Training | 51-200 Employees | 10 years old | Bengaluru +6 more	263 Salaries	7 Interviews	1 Jobs
8	Kawasaki Motors	3.7	70 Reviews	Automobile | 1-10 Employees | 14 years old | Pune +3 more	616 Salaries	4 Interviews	-- Jobs
9	Defence Research & Development Laboratory	4.6	70 Reviews	1k-5k Employees | Hyderabad/Secunderabad +3 more	520 Salaries	2 Interviews	-- Jobs
10	VKALP Outsourcing Services	3.7	70 Reviews	BPO | 201-500 Employees | 21 years old | Jaipur +2 more	315 Salaries	2 Interviews	4 Jobs
11	Kider india	3.6	70 Reviews	Logistics | 501-1k Employees | 15 years old | Pune +1 more	434 Salaries	2 Interviews	-- Jobs
12	Transport Solutions India	3.8	70 Reviews	Automobile | 51-200 Employees | 23 years old | Mumbai +10 more	586 Salaries	3 Interviews	-- Jobs
